project,owner,repo,url,stars,commits,first_commit_date,age_years,loc,loc_java,branch_coverage,line_coverage
graphstream-gs-algo,graphstream,gs-algo,https://github.com/graphstream/gs-algo,108,468,2009-02-19,17.4,45728,14590,0.339812815,0.349761303
sbesada-java.math.expression.parser,sbesada,java.math.expression.parser,https://github.com/sbesada/java.math.expression.parser,43,64,2015-04-30,11.2,1952,1850,0.601694915,0.677002584
hlavki-jlemmagen,hlavki,jlemmagen,https://github.com/hlavki/jlemmagen,11,26,2013-10-21,12.7,1449,1248,0.636904762,0.723098996
eightbitjim-cassette-nibbler,eightbitjim,cassette-nibbler,https://github.com/eightbitjim/cassette-nibbler,12,26,2017-04-09,9.2,18675,18055,0.163703704,0.184831293
addthis-stream-lib,addthis,stream-lib,https://github.com/addthis/stream-lib,2265,386,2011-03-15,15.3,293363,8654,0.781914894,0.828333936
houbb-sensitive-word,houbb,sensitive-word,https://github.com/houbb/sensitive-word,5910,224,2020-01-06,6.5,138536,5919,0.588495575,0.766203704
fusion-jena-JaroWinklerSimilarity,fusion-jena,JaroWinklerSimilarity,https://github.com/fusion-jena/JaroWinklerSimilarity,19,47,2018-07-31,7.9,2284,1899,0.738636364,0.853658537
danieldk-dictomaton,danieldk,dictomaton,https://github.com/danieldk/dictomaton,133,142,2013-02-10,13.4,4410,4184,0.564971751,0.556900726
solita-functional-utils,solita,functional-utils,https://github.com/solita/functional-utils,25,345,2012-12-21,13.5,45212,44458,0.269201521,0.124627862
huaban-jieba-analysis,huaban,jieba-analysis,https://github.com/huaban/jieba-analysis,2699,111,2013-08-05,12.9,1255013,1265,0.736526946,0.735166425
PeterisP-morphology,PeterisP,morphology,https://github.com/PeterisP/morphology,37,774,2012-05-11,14.1,1470415,14028,0.652051362,0.624459121
indeedeng-vowpal-wabbit-java,indeedeng,vowpal-wabbit-java,https://github.com/indeedeng/vowpal-wabbit-java,54,161,2015-01-26,11.4,3342,2198,0.488479263,0.490514905
Sweetiee-yi-Jaba,Sweetiee-yi,Jaba,https://github.com/Sweetiee-yi/Jaba,103,6,2018-12-09,7.6,385164,808,0.774647887,0.864795918
jahlborn-jackcess,jahlborn,jackcess,https://github.com/jahlborn/jackcess,122,1268,2005-04-07,21.2,176596,45177,0.775881684,0.873945905
davidmoten-bplustree,davidmoten,bplustree,https://github.com/davidmoten/bplustree,51,433,2019-09-20,6.8,3617,3279,0.827102804,0.932984293
StarlangSoftware-TurkishSentiNet,StarlangSoftware,TurkishSentiNet,https://github.com/StarlangSoftware/TurkishSentiNet,12,69,2019-08-25,6.8,157334,314,0.842105263,0.788321168
codelion-gramtest,codelion,gramtest,https://github.com/codelion/gramtest,90,114,2015-04-20,11.2,777,491,0.452914798,0.489683631
ysc-word,ysc,word,https://github.com/ysc/word,1821,919,2014-03-17,12.3,4575273,10000,0.339573357,0.319834413
lexburner-consistent-hash-algorithm,lexburner,consistent-hash-algorithm,https://github.com/lexburner/consistent-hash-algorithm,47,3,2019-02-15,7.4,496,463,0.533333333,0.372413793
attoparser-attoparser,attoparser,attoparser,https://github.com/attoparser/attoparser,52,358,2012-09-15,13.8,21343,17307,0.646462019,0.698415141
awslabs-route53-infima,awslabs,route53-infima,https://github.com/awslabs/route53-infima,363,9,2013-11-07,12.6,1579,1160,0.75,0.895652174
almondtools-stringsearchalgorithms,almondtools,stringsearchalgorithms,https://github.com/almondtools/stringsearchalgorithms,49,258,2015-11-12,10.6,10616,10355,0.921875,0.947202522
googleapis-java-spanner-jdbc,googleapis,java-spanner-jdbc,https://github.com/googleapis/java-spanner-jdbc,73,1981,2015-02-17,11.4,93504,43883,0.719626168,0.81329735
lukfor-pgs-calc,lukfor,pgs-calc,https://github.com/lukfor/pgs-calc,35,351,2020-03-13,6.3,9260,7617,0.504125413,0.577555817
StarlangSoftware-TurkishPropBank,StarlangSoftware,TurkishPropBank,https://github.com/StarlangSoftware/TurkishPropBank,7,94,2018-06-01,8.1,167515,771,0.235849057,0.448717949
renfei-ik-analyzer,renfei,ik-analyzer,https://github.com/renfei/ik-analyzer,26,11,2022-05-05,4.2,3651,3400,0.298124383,0.386007238
flipkart-incubator-databuilderframework,flipkart-incubator,databuilderframework,https://github.com/flipkart-incubator/databuilderframework,40,151,2014-07-01,12.0,7495,6999,0.524096386,0.746188341
cowtowncoder-java-uuid-generator,cowtowncoder,java-uuid-generator,https://github.com/cowtowncoder/java-uuid-generator,927,308,2010-03-17,16.3,6415,5508,0.428246014,0.503882657
gchq-synthetic-data-generator,gchq,synthetic-data-generator,https://github.com/gchq/synthetic-data-generator,22,13,2021-03-15,5.3,1432,1119,0.631578947,0.792834891
cocolian-cocolian-nlp,cocolian,cocolian-nlp,https://github.com/cocolian/cocolian-nlp,24,9,2018-02-23,8.3,8435,3550,0.558546433,0.644902635
mocnik-science-geogrid,mocnik-science,geogrid,https://github.com/mocnik-science/geogrid,55,162,2017-07-16,9.0,1389,1208,0.490084986,0.623318386
ghaffarian-progex,ghaffarian,progex,https://github.com/ghaffarian/progex,90,160,2017-09-29,8.8,19791,18736,0.496346098,0.629435084
davidmoten-rtree,davidmoten,rtree,https://github.com/davidmoten/rtree,1138,1310,2014-08-26,11.8,10305,8389,0.796778191,0.836321839
almson-almson-refcount,almson,almson-refcount,https://github.com/almson/almson-refcount,21,19,2018-10-20,7.7,1097,677,0.270072993,0.523219814
kapoorlabs-kiara,kapoorlabs,kiara,https://github.com/kapoorlabs/kiara,12,98,2020-03-16,6.3,112076,10395,0.605295567,0.812030075
ElectronicChartCentre-java-vector-tile,ElectronicChartCentre,java-vector-tile,https://github.com/ElectronicChartCentre/java-vector-tile,209,155,2014-05-21,12.1,5401,5239,0.408525755,0.471465077
agarciadom-xeger,agarciadom,xeger,https://github.com/agarciadom/xeger,96,41,2013-01-28,13.4,489,204,0.5,0.740740741
davidmoten-rtree2,davidmoten,rtree2,https://github.com/davidmoten/rtree2,99,1342,2014-08-26,11.8,7416,5532,0.801680672,0.89298893
Antibrumm-jackson-antpathfilter,Antibrumm,jackson-antpathfilter,https://github.com/Antibrumm/jackson-antpathfilter,66,46,2015-01-30,11.4,1400,1112,0.310457516,0.451530612
chocoteam-choco-graph,chocoteam,choco-graph,https://github.com/chocoteam/choco-graph,12,147,2014-09-02,11.8,14412,11874,0.295439524,0.324946778
davidmoten-rtree-multi,davidmoten,rtree-multi,https://github.com/davidmoten/rtree-multi,71,218,2019-07-30,6.9,5959,4067,0.90960452,0.953362256
apache-commons-imaging,apache,commons-imaging,https://github.com/apache/commons-imaging,482,3222,2007-10-06,18.7,47769,42398,0.645197424,0.77658254
conveyal-osm-lib,conveyal,osm-lib,https://github.com/conveyal/osm-lib,41,162,2015-03-04,11.3,3284,2999,0.441979522,0.510180337
graphstream-gs-core,graphstream,gs-core,https://github.com/graphstream/gs-core,425,923,2009-02-19,17.4,51613,48721,0.177742699,0.223537498
myui-btree4j,myui,btree4j,https://github.com/myui/btree4j,227,49,2017-12-12,8.5,8769,7684,0.238020833,0.372044018
fraunhoferfokus-Fuzzino,fraunhoferfokus,Fuzzino,https://github.com/fraunhoferfokus/Fuzzino,67,81,2013-05-07,13.1,22092,19858,0.561040694,0.78814568
iquadrat-sbb-train-scheduler,iquadrat,sbb-train-scheduler,https://github.com/iquadrat/sbb-train-scheduler,10,7,2018-11-15,7.6,5454738,19591,0.359631443,0.432507525
simplenlg-simplenlg,simplenlg,simplenlg,https://github.com/simplenlg/simplenlg,828,118,2014-08-20,11.9,181453,13469,0.654162553,0.742005958
zhoujianling-PointCloudUtilities,zhoujianling,PointCloudUtilities,https://github.com/zhoujianling/PointCloudUtilities,39,206,2018-09-11,7.8,6985,6587,0.721082855,0.792164179
palindromicity-simple-syslog,palindromicity,simple-syslog,https://github.com/palindromicity/simple-syslog,18,67,2018-11-21,7.6,12960,11513,0.396207585,0.473371429
albfernandez-javadbf,albfernandez,javadbf,https://github.com/albfernandez/javadbf,240,510,2003-06-04,23.1,11866,7381,0.739076155,0.807496823
MezereonXP-AnomalyDetectTool,MezereonXP,AnomalyDetectTool,https://github.com/MezereonXP/AnomalyDetectTool,87,118,2018-04-27,8.2,4957,1713,0.81092437,0.671787709
palatable-lambda,palatable,lambda,https://github.com/palatable/lambda,875,707,2014-01-26,12.4,31455,30194,0.768608414,0.876417234
mastodon-sc-mastodon,mastodon-sc,mastodon,https://github.com/mastodon-sc/mastodon,81,3265,2014-05-06,12.2,83600,73293,0.103168964,0.123629848
bkatwal-kafka-util,bkatwal,kafka-util,https://github.com/bkatwal/kafka-util,11,10,2019-03-30,7.3,345,186,0.375,0.652173913
confluentinc-kafka-connect-datagen,confluentinc,kafka-connect-datagen,https://github.com/confluentinc/kafka-connect-datagen,50,381,2018-10-26,7.7,2767,1116,0.758064516,0.891472868
xspec-xspec-maven-plugin-1,xspec,xspec-maven-plugin-1,https://github.com/xspec/xspec-maven-plugin-1,7,282,2013-09-24,12.8,8981,4274,0.422764228,0.578782172
f4b6a3-uuid-creator,f4b6a3,uuid-creator,https://github.com/f4b6a3/uuid-creator,684,931,2018-04-23,8.2,18635,17289,0.68984701,0.883071553
getodk-javarosa,getodk,javarosa,https://github.com/getodk/javarosa,57,4965,2006-12-31,19.5,258203,44429,0.585143749,0.622653584
