project,tool,gc,arm,wall_ms,program_ms,gc_ms,others_ms,dispatch_ms,rcr_ms,weakref_hotpath_ms,sync_ms,update_ms,monitor_handler_ms
agarciadom-xeger,javamop,serial,native,39347.0,2655.1,3820.2,370.0,2175.1,6690.3,0.0,7005.3,125.0,25.0
agarciadom-xeger,javamop,parallel,native,44934.0,3331.4,1655.7,425.2,2396.0,9193.9,0.0,7978.4,165.1,25.0
agarciadom-xeger,javamop,g1,native,50769.4,4196.6,4306.7,375.6,2554.0,7882.3,0.0,11167.5,130.2,30.0
agarciadom-xeger,javamop,serial,stock,72965.2,3270.0,28595.1,385.0,2260.0,14315.0,620.0,9240.0,435.0,35.0
agarciadom-xeger,javamop,parallel,stock,53440.6,3081.6,5008.8,351.3,2273.5,16436.7,627.4,9059.0,431.6,45.2
agarciadom-xeger,javamop,g1,stock,63884.0,4338.9,4554.5,536.7,2809.0,19432.0,2663.5,12535.0,596.9,30.1
albfernandez-javadbf,javamop,g1,native,29225.8,1983.1,200.3,480.8,841.3,290.5,0.0,11903.7,15.0,15.0
albfernandez-javadbf,javamop,parallel,native,28115.0,2138.8,65.1,270.5,776.4,265.5,0.0,11470.4,45.1,20.0
albfernandez-javadbf,javamop,serial,native,29853.0,2200.2,1005.1,250.0,855.1,320.0,0.0,11181.1,50.0,20.0
albfernandez-javadbf,javamop,g1,stock,27495.6,2143.6,205.3,295.5,786.3,415.7,5.0,11689.4,85.1,25.0
albfernandez-javadbf,javamop,parallel,stock,26524.5,2016.5,155.1,235.2,805.6,430.3,0.0,11278.3,55.0,15.0
albfernandez-javadbf,javamop,serial,stock,28037.5,2035.2,885.1,315.0,885.1,340.0,0.0,11426.0,30.0,10.0
almondtools-stringsearchalgorithms,javamop,g1,native,98055.3,12934.0,13545.8,356.1,3289.9,31053.5,0.0,21840.8,285.9,20.1
almondtools-stringsearchalgorithms,javamop,serial,native,137244.1,15210.4,57066.7,370.0,3370.1,28010.8,0.0,18525.5,170.0,25.0
almondtools-stringsearchalgorithms,javamop,parallel,native,84691.2,11277.8,4034.6,340.4,3393.9,33002.5,0.0,18170.6,175.2,15.0
almondtools-stringsearchalgorithms,javamop,parallel,stock,146586.3,13346.5,10585.0,431.0,2776.6,81141.7,1518.6,21681.2,395.9,20.0
almondtools-stringsearchalgorithms,javamop,serial,stock,223730.1,15820.0,96965.1,330.0,3250.0,69735.0,1370.0,21490.0,290.0,25.0
almondtools-stringsearchalgorithms,javamop,g1,stock,174869.2,14111.1,14171.4,627.9,4943.2,95728.4,2717.7,26860.8,477.2,20.1
almson-almson-refcount,javamop,g1,native,29972.8,206.4,1595.8,276.9,553.7,55.4,0.0,14986.4,0.0,25.2
almson-almson-refcount,javamop,serial,native,26808.9,175.3,1607.9,255.5,651.2,30.1,0.0,13379.4,0.0,25.0
almson-almson-refcount,javamop,parallel,native,30751.7,185.6,110.3,175.5,687.0,15.0,0.0,14638.7,0.0,25.1
almson-almson-refcount,javamop,g1,stock,33836.8,192.5,896.4,202.6,714.1,50.6,0.0,21671.5,0.0,25.3
almson-almson-refcount,javamop,serial,stock,32791.1,185.3,5632.9,215.3,650.9,55.1,0.0,17589.8,0.0,15.0
almson-almson-refcount,javamop,parallel,stock,36737.9,195.8,1666.5,205.8,592.3,25.1,0.0,23928.1,0.0,20.1
Antibrumm-jackson-antpathfilter,javamop,g1,native,99271.0,825.6,7080.3,491.2,2142.4,83.6,0.0,34879.1,0.0,47.0
Antibrumm-jackson-antpathfilter,javamop,parallel,native,114090.2,711.2,450.7,320.5,1552.5,50.1,0.0,65681.6,0.0,35.1
Antibrumm-jackson-antpathfilter,javamop,serial,native,91522.7,960.5,6638.3,447.6,2237.9,50.3,0.0,31386.0,0.0,25.1
Antibrumm-jackson-antpathfilter,javamop,g1,stock,131242.2,811.7,8399.5,369.9,1731.3,113.0,0.0,72589.8,5.1,41.1
Antibrumm-jackson-antpathfilter,javamop,parallel,stock,139915.4,743.1,2997.5,276.2,1737.3,110.5,0.0,90855.2,0.0,40.2
Antibrumm-jackson-antpathfilter,javamop,serial,stock,168316.4,882.6,49319.0,526.5,2056.0,85.2,5.0,67958.4,0.0,30.1
attoparser-attoparser,javamop,serial,native,301249.5,71442.0,34333.4,580.1,14341.4,61066.0,0.0,104355.2,2220.2,70.0
