tool,suite,subject,gc,arm,status,monitors,events,traces
valg,oss,Antibrumm-jackson-antpathfilter,serial,stock,PASS,436716,52453675,
valg,oss,Antibrumm-jackson-antpathfilter,serial,native,PASS,440671,52435547,
valg,oss,Antibrumm-jackson-antpathfilter,parallel,stock,PASS,445378,52477504,
valg,oss,Antibrumm-jackson-antpathfilter,parallel,native,PASS,439412,52440063,
valg,oss,Antibrumm-jackson-antpathfilter,g1,stock,PASS,444852,52475417,
valg,oss,Antibrumm-jackson-antpathfilter,g1,native,PASS,439914,52425047,
valg,oss,ElectronicChartCentre-java-vector-tile,serial,stock,PASS,3368893,597844080,
valg,oss,ElectronicChartCentre-java-vector-tile,serial,native,PASS,2395615,565824150,
valg,oss,ElectronicChartCentre-java-vector-tile,parallel,stock,PASS,3378942,599107619,
valg,oss,ElectronicChartCentre-java-vector-tile,parallel,native,PASS,3408658,604164421,
valg,oss,ElectronicChartCentre-java-vector-tile,g1,stock,PASS,1425070,587137005,
valg,oss,ElectronicChartCentre-java-vector-tile,g1,native,PASS,1475895,586732294,
valg,oss,MezereonXP-AnomalyDetectTool,serial,stock,PASS,38293,213257647,
valg,oss,MezereonXP-AnomalyDetectTool,serial,native,PASS,38699,213264595,
valg,oss,MezereonXP-AnomalyDetectTool,parallel,stock,PASS,38176,213226902,
valg,oss,MezereonXP-AnomalyDetectTool,parallel,native,PASS,38416,213217733,
valg,oss,MezereonXP-AnomalyDetectTool,g1,stock,PASS,38446,213229956,
valg,oss,MezereonXP-AnomalyDetectTool,g1,native,PASS,38312,213176377,
valg,oss,PeterisP-morphology,serial,stock,PASS,2781678,2397838662,
valg,oss,PeterisP-morphology,serial,native,PASS,2772466,2398506494,
valg,oss,PeterisP-morphology,parallel,stock,PASS,2781169,2398318828,
valg,oss,PeterisP-morphology,parallel,native,PASS,2770838,2398329675,
valg,oss,PeterisP-morphology,g1,stock,PASS,2772629,2398926325,
valg,oss,PeterisP-morphology,g1,native,PASS,2764919,2398231819,
valg,oss,StarlangSoftware-TurkishPropBank,serial,stock,PASS,170393,55514578,
valg,oss,StarlangSoftware-TurkishPropBank,serial,native,PASS,170761,55514372,
valg,oss,StarlangSoftware-TurkishPropBank,parallel,stock,PASS,170892,55515425,
valg,oss,StarlangSoftware-TurkishPropBank,parallel,native,PASS,170568,55513662,
valg,oss,StarlangSoftware-TurkishPropBank,g1,stock,PASS,171047,55516164,
valg,oss,StarlangSoftware-TurkishPropBank,g1,native,PASS,170916,55514413,
valg,oss,StarlangSoftware-TurkishSentiNet,serial,stock,PASS,20140,68889038,
valg,oss,StarlangSoftware-TurkishSentiNet,serial,native,PASS,20142,69119514,
valg,oss,StarlangSoftware-TurkishSentiNet,parallel,stock,PASS,20141,69119509,
valg,oss,StarlangSoftware-TurkishSentiNet,parallel,native,PASS,20141,69042690,
valg,oss,StarlangSoftware-TurkishSentiNet,g1,stock,PASS,20142,68889043,
valg,oss,StarlangSoftware-TurkishSentiNet,g1,native,PASS,20141,69119509,
valg,oss,StarlangSoftware-TurkishWordNet,serial,stock,PASS,2274702,1499274887,
valg,oss,StarlangSoftware-TurkishWordNet,serial,native,PASS,2301324,1500030429,
valg,oss,StarlangSoftware-TurkishWordNet,parallel,stock,PASS,2274199,1500212507,
valg,oss,StarlangSoftware-TurkishWordNet,parallel,native,PASS,2277362,1499822964,
valg,oss,StarlangSoftware-TurkishWordNet,g1,stock,PASS,2274229,1499273918,
valg,oss,StarlangSoftware-TurkishWordNet,g1,native,PASS,2274147,1499977535,
valg,oss,Sweetiee-yi-Jaba,serial,stock,PASS,2759266,109117303,
valg,oss,Sweetiee-yi-Jaba,serial,native,PASS,3311508,111263945,
valg,oss,Sweetiee-yi-Jaba,parallel,stock,PASS,2818025,109338368,
valg,oss,Sweetiee-yi-Jaba,parallel,native,PASS,2839341,109421378,
valg,oss,Sweetiee-yi-Jaba,g1,stock,PASS,2840374,109414074,
valg,oss,Sweetiee-yi-Jaba,g1,native,PASS,2818754,111198810,
valg,oss,addthis-stream-lib,serial,stock,PASS,682854,2146292800,
valg,oss,addthis-stream-lib,serial,native,PASS,692076,2142358916,
valg,oss,addthis-stream-lib,parallel,stock,PASS,692921,2144582144,
valg,oss,addthis-stream-lib,parallel,native,FAIL,878494,2150501827,
valg,oss,addthis-stream-lib,g1,stock,PASS,674974,2148878432,
valg,oss,addthis-stream-lib,g1,native,PASS,692321,2154729329,
valg,oss,agarciadom-xeger,serial,stock,PASS,944206,62535137,
valg,oss,agarciadom-xeger,serial,native,PASS,943317,62878431,
valg,oss,agarciadom-xeger,parallel,stock,PASS,678319,62398419,
valg,oss,agarciadom-xeger,parallel,native,PASS,677223,62411020,
valg,oss,agarciadom-xeger,g1,stock,PASS,665812,62180917,
valg,oss,agarciadom-xeger,g1,native,PASS,678548,62401535,
valg,oss,albfernandez-javadbf,serial,stock,PASS,999,823325,
valg,oss,albfernandez-javadbf,serial,native,PASS,934,821999,
valg,oss,albfernandez-javadbf,parallel,stock,PASS,1014,823146,
valg,oss,albfernandez-javadbf,parallel,native,PASS,956,821524,
valg,oss,albfernandez-javadbf,g1,stock,PASS,992,816345,
valg,oss,albfernandez-javadbf,g1,native,PASS,963,821629,
valg,oss,almondtools-stringsearchalgorithms,serial,stock,PASS,282706,522234002,
valg,oss,almondtools-stringsearchalgorithms,serial,native,PASS,291408,524566858,
valg,oss,almondtools-stringsearchalgorithms,parallel,stock,PASS,292414,523370223,
valg,oss,almondtools-stringsearchalgorithms,parallel,native,PASS,317931,525972197,
valg,oss,almondtools-stringsearchalgorithms,g1,stock,PASS,295582,525499154,
valg,oss,almondtools-stringsearchalgorithms,g1,native,PASS,287518,525300285,
valg,oss,almson-almson-refcount,serial,stock,PASS,6206,25000447,
valg,oss,almson-almson-refcount,serial,native,PASS,6452,25000433,
valg,oss,almson-almson-refcount,parallel,stock,PASS,6749,25000448,
valg,oss,almson-almson-refcount,parallel,native,PASS,6271,25000451,
valg,oss,almson-almson-refcount,g1,stock,PASS,6184,25000440,
valg,oss,almson-almson-refcount,g1,native,PASS,6260,25000447,
valg,oss,apache-commons-imaging,serial,stock,PASS,1017911,612500037,
valg,oss,apache-commons-imaging,serial,native,PASS,1016163,612912593,
valg,oss,apache-commons-imaging,parallel,stock,PASS,1260252,614470612,
valg,oss,apache-commons-imaging,parallel,native,PASS,1022716,607585318,
valg,oss,apache-commons-imaging,g1,stock,PASS,1016065,605801346,
valg,oss,apache-commons-imaging,g1,native,PASS,1239933,613558968,
valg,oss,attoparser-attoparser,serial,stock,PASS,12776670,817832384,
valg,oss,attoparser-attoparser,serial,native,PASS,12776771,817840018,
valg,oss,attoparser-attoparser,parallel,stock,PASS,12775993,817819247,
valg,oss,attoparser-attoparser,parallel,native,PASS,12775595,817852134,
valg,oss,attoparser-attoparser,g1,stock,PASS,12779443,817878001,
valg,oss,attoparser-attoparser,g1,native,PASS,12776499,817817110,
valg,oss,awslabs-route53-infima,serial,stock,PASS,857816,47364657,
valg,oss,awslabs-route53-infima,serial,native,PASS,981579,47349524,
valg,oss,awslabs-route53-infima,parallel,stock,PASS,981177,47352307,
valg,oss,awslabs-route53-infima,parallel,native,PASS,981618,47351338,
valg,oss,awslabs-route53-infima,g1,stock,PASS,734479,47352104,
valg,oss,awslabs-route53-infima,g1,native,PASS,980636,47332424,
valg,oss,bkatwal-kafka-util,serial,stock,PASS,58041,2062070,
valg,oss,bkatwal-kafka-util,serial,native,PASS,55050,2015701,
valg,oss,bkatwal-kafka-util,parallel,stock,PASS,60149,2212713,
valg,oss,bkatwal-kafka-util,parallel,native,PASS,61222,2287955,
valg,oss,bkatwal-kafka-util,g1,stock,PASS,55927,2009380,
valg,oss,bkatwal-kafka-util,g1,native,PASS,58349,2128837,
valg,oss,chocoteam-choco-graph,serial,stock,PASS,719182,894765368,
valg,oss,chocoteam-choco-graph,serial,native,PASS,720430,919524035,
valg,oss,chocoteam-choco-graph,parallel,stock,PASS,720612,870856195,
valg,oss,chocoteam-choco-graph,parallel,native,PASS,719155,896123014,
valg,oss,chocoteam-choco-graph,g1,stock,PASS,720638,904939443,
valg,oss,chocoteam-choco-graph,g1,native,PASS,720842,900982289,
valg,oss,cocolian-cocolian-nlp,serial,stock,PASS,1148109,248723431,
valg,oss,cocolian-cocolian-nlp,serial,native,PASS,1216604,249358464,
valg,oss,cocolian-cocolian-nlp,parallel,stock,PASS,1169765,249570384,
valg,oss,cocolian-cocolian-nlp,parallel,native,PASS,1323746,249794484,
