heap,suite,tool,gc,subject,arm,status,e2e_s,peak_heap_mb,postgc_live_mb,viols
abundant,dacapo,javamop,g1,avrora,native,PASS,31.580,5904,5050,5
abundant,dacapo,javamop,g1,avrora,stock,PASS,53.971,11493,10032,5
abundant,dacapo,javamop,g1,batik,native,PASS,2.695,3132,1080,2
abundant,dacapo,javamop,g1,batik,stock,PASS,3.932,2328,1350,2
abundant,dacapo,javamop,g1,biojava,native,PASS,166.756,1710,1071,5
abundant,dacapo,javamop,g1,biojava,stock,PASS,171.761,1707,349,5
abundant,dacapo,javamop,g1,eclipse,native,PASS,11.747,2329,510,25
abundant,dacapo,javamop,g1,eclipse,stock,PASS,11.608,2422,673,25
abundant,dacapo,javamop,g1,graphchi,native,PASS,13.238,1598,524,1
abundant,dacapo,javamop,g1,graphchi,stock,PASS,13.587,1642,448,1
abundant,dacapo,javamop,g1,h2,native,PASS,2.505,7522,1220,0
abundant,dacapo,javamop,g1,h2,stock,PASS,2.506,5842,1057,0
abundant,dacapo,javamop,g1,jme,native,PASS,7.205,1563,167,2
abundant,dacapo,javamop,g1,jme,stock,PASS,7.242,1674,151,2
abundant,dacapo,javamop,g1,jython,native,PASS,19.992,6354,4069,13
abundant,dacapo,javamop,g1,jython,stock,PASS,25.890,9155,6227,13
abundant,dacapo,javamop,g1,kafka,native,FAIL,186.646,17792,16839,48
abundant,dacapo,javamop,g1,kafka,stock,FAIL,3032.253,35680,33291,50
abundant,dacapo,javamop,g1,luindex,native,PASS,120.280,3036,1154,6
abundant,dacapo,javamop,g1,luindex,stock,PASS,372.016,2413,2077,6
abundant,dacapo,javamop,g1,lusearch,native,PASS,103.596,12768,9854,6
abundant,dacapo,javamop,g1,lusearch,stock,PASS,147.365,80023,77911,6
abundant,dacapo,javamop,g1,pmd,native,FAIL,355.474,20161,17426,18
abundant,dacapo,javamop,g1,pmd,stock,FAIL,577.954,87522,83266,18
abundant,dacapo,javamop,g1,sunflow,native,PASS,18.223,3232,681,0
abundant,dacapo,javamop,g1,sunflow,stock,PASS,20.318,1704,185,0
abundant,dacapo,javamop,g1,tomcat,native,PASS,41.068,7463,3929,51
abundant,dacapo,javamop,g1,tomcat,stock,PASS,40.607,17394,11156,51
abundant,dacapo,javamop,g1,xalan,native,ERR,,1737,905,6
abundant,dacapo,javamop,g1,xalan,stock,PASS,23.248,1730,352,6
abundant,dacapo,javamop,g1,zxing,native,PASS,12.923,2650,1144,0
abundant,dacapo,javamop,g1,zxing,stock,PASS,15.966,3767,2141,0
abundant,dacapo,javamop,parallel,avrora,native,PASS,27.150,7171,3386,5
abundant,dacapo,javamop,parallel,avrora,stock,PASS,49.035,15073,11344,5
abundant,dacapo,javamop,parallel,batik,native,PASS,2.484,8058,792,2
abundant,dacapo,javamop,parallel,batik,stock,PASS,3.673,8057,1736,2
abundant,dacapo,javamop,parallel,biojava,native,PASS,165.412,8058,270,5
abundant,dacapo,javamop,parallel,biojava,stock,PASS,170.417,8056,887,5
abundant,dacapo,javamop,parallel,eclipse,native,PASS,11.286,5255,388,25
abundant,dacapo,javamop,parallel,eclipse,stock,PASS,11.359,5881,433,25
abundant,dacapo,javamop,parallel,graphchi,native,PASS,12.555,10340,1827,1
abundant,dacapo,javamop,parallel,graphchi,stock,PASS,12.977,10341,1706,1
abundant,dacapo,javamop,parallel,h2,native,PASS,2.336,32924,1002,0
abundant,dacapo,javamop,parallel,h2,stock,PASS,2.359,32723,1030,0
abundant,dacapo,javamop,parallel,jme,native,PASS,7.035,4064,125,2
abundant,dacapo,javamop,parallel,jme,stock,PASS,7.075,4065,133,2
abundant,dacapo,javamop,parallel,jython,native,PASS,15.565,9646,2726,13
abundant,dacapo,javamop,parallel,jython,stock,PASS,22.090,8872,4602,13
abundant,dacapo,javamop,parallel,kafka,native,FAIL,184.064,19962,12885,49
abundant,dacapo,javamop,parallel,kafka,stock,FAIL,,16090,14290,49
abundant,dacapo,javamop,parallel,luindex,native,PASS,120.087,8058,202,6
abundant,dacapo,javamop,parallel,luindex,stock,PASS,315.049,8058,2134,6
abundant,dacapo,javamop,parallel,lusearch,native,PASS,91.312,22623,5939,6
abundant,dacapo,javamop,parallel,lusearch,stock,PASS,125.538,30940,20493,6
abundant,dacapo,javamop,parallel,pmd,native,FAIL,326.345,29633,10144,18
abundant,dacapo,javamop,parallel,pmd,stock,FAIL,497.121,52055,44221,18
abundant,dacapo,javamop,parallel,sunflow,native,PASS,15.917,4066,249,0
abundant,dacapo,javamop,parallel,sunflow,stock,PASS,21.061,4061,831,0
abundant,dacapo,javamop,parallel,tomcat,native,PASS,35.221,18457,1693,51
abundant,dacapo,javamop,parallel,tomcat,stock,PASS,39.696,23134,9415,51
abundant,dacapo,javamop,parallel,xalan,native,PASS,19.505,4058,244,6
abundant,dacapo,javamop,parallel,xalan,stock,PASS,20.772,4058,477,6
abundant,dacapo,javamop,parallel,zxing,native,PASS,11.144,4055,250,0
abundant,dacapo,javamop,parallel,zxing,stock,PASS,14.893,5469,2767,0
